user_id,total_tasks,max_level
2fc73967-4a23-4a0d-85bf-0211d8b15a4b,781,11
86a3330e-6005-4ae0-8b70-eabc45ce6703,428,9.05
6e4021ea-ff15-4259-986e-86c8f01f8066,413,16.5
f81a29c9-a25c-4b39-92fd-2e404adbcbee,396,44.1
69abae39-2f90-488b-96e7-e3895bdc6ea5,386,40.85
c37acafc-9d00-4a85-983e-903b4d193f6e,379,19.6
0084f007-93d7-4882-969b-59ebd45ef273,376,20.3
a5dfd8dd-e195-45a5-b4ee-f6f9177f88bd,372,8.55
c3022dfd-a5f5-4fb1-ab25-7d3987ed07d6,364,9.95
705372fe-5d78-4e5a-801c-4d06daf18caf,345,24.9
57b294ae-0f93-4451-82f1-451de1483226,282,21.15
2884920b-fb0b-4199-bea4-0b05d8a0c65f,267,4.1
101b7ea7-dee4-4dc4-8b14-05764e542d0f,260,10.75
e80e9cb3-e3bd-4f32-84aa-68bed26b0655,257,17.2
8f74c078-ed16-4b00-ad8e-ac46dfb58e79,238,12.85
c1f2c972-da79-4978-b084-f694a773ff50,231,9.05
81c4842b-ef63-4102-a096-3db28b2392ea,228,18.45
4af1a39d-3b76-4ce5-b542-10860dae3ba0,226,11.95
db332356-5bd8-4841-bfd9-a346d4aa3b1d,224,22.65
4b43ebfa-528a-4b81-b7ad-83d0b4283086,224,13.7
6cc02226-e821-44d9-9ef7-fb014e6ed5c1,219,9.45
e4738750-8cd8-4673-bda8-098d906eda12,217,4.1
812bc92b-bdde-40ba-9113-634d2ac54fed,210,7.15
7e720523-45ef-4867-bfed-34207cde8278,206,22.35
df7a998d-9ce4-41fe-a643-10ad32a80f1a,205,18.85
897ac410-0734-4335-95d2-eaed105bb01e,192,6.95
fe708d7c-4d19-4884-99d0-752ff0d906e6,176,9.7
a1e20a81-8171-4e75-bb61-794c2f57516f,175,15.15
ce915b94-a119-426f-87b9-454ea34ded08,165,11.6
e68c558a-a028-43e7-a840-70e18f5cbaec,162,11.05
893c4297-a0f6-48ee-b925-405209d96a53,161,12.4
e3f263b4-599f-4483-aba7-db62918e4abc,159,17.5
54656e46-3a30-46be-8217-f114e2c390c4,157,7.7
2ff88cba-6881-4917-bc6e-5416464598ad,156,6.7
c8ffee18-f57b-46b6-a505-897e7798b278,141,8.25
c15225ae-8e8b-4633-bb07-7a866feb7f05,137,8.05
23ca0593-be59-45fc-bf34-d8cd156b17ce,137,7.15
31e9e775-cc6f-456c-b3b0-3e33e5af5c48,136,11.55
28fc4e8a-cb4c-4329-b71f-afde52d10f99,132,6.8
a2a8c5ad-181d-48bf-a62d-ab158a7846bd,130,11.8
ea75467d-eb5e-493c-b0ba-2031262645dd,127,2.25
b6a1b01d-55ee-4fde-969e-c160faba6580,125,9
47c4ebf1-05cf-43a3-b1c3-19777d8358fb,122,13.85
0c6ea00f-1118-42f9-94fd-e6dee675755f,122,2.15
4fc66716-ce02-4579-8d7f-01e1b2cfdc48,121,4.6
0303afc0-fc30-4f65-a310-30ec7225d420,117,16.75
52a60ac4-e02b-49f4-b295-4ec2544bebd3,112,8.9
00419eaa-17dc-4e2b-a7d8-ec5c7d3daec4,107,6.7
a63895e0-ea83-4e8d-bec3-276854e33e0b,105,2.9
3a527b90-547f-423c-bb2d-6394b2a2ca42,104,8.9
dde42304-4ec2-42b5-9149-2e0811269693,103,8.3
28a54cce-5c56-4b42-b841-6895b14e7e55,100,8.7
7c057613-7c58-488a-8205-3c0d91b5cddc,99,9.4
40f88c22-ad42-48a0-aaad-1e17e4840647,99,12.35
095da2d4-3874-4c0c-8402-6c09b10c9cfc,95,4.2
4d94611b-3857-4569-81d3-bd481138cf9a,90,8.4
110ce160-2076-4cd4-8dce-73a1e81d2dad,85,3.7
a56dffe4-2ce4-4078-85d9-bd233934021b,81,11.9
2d0d44f8-16c6-4c77-bbff-ae39868494a9,78,3.8
edade9e0-a2f0-4ca2-a1b3-4bda2c4e9daf,77,12.15
129a8371-ba3c-42e5-a611-cac4e7cc492b,74,4.75
650816ae-6a6b-4a54-8fde-8f3d637cee89,74,11.15
0fa57ac6-811b-4894-b3fb-d39c2366a9c7,70,4.65
c9801a17-760c-47bd-90ed-56e4e2ed5a70,70,3.5
3cd42d2e-1699-4fa0-9d0b-7e4207357b45,69,5.65
7162122e-c840-4a3e-a768-35fee990847e,68,2.65
f60da102-a357-4c6c-ae99-dfa4fa4a7377,67,3.4
7e879631-bfcb-4872-84b5-81238fd173a5,64,2.75
5c75278f-aee2-4ae5-a685-f53074b5386d,64,9.95
805fafb7-8485-458d-8d74-6a321de6bee8,63,2.4
4a2867ce-01c4-4d0c-a379-991e893e8ca2,63,2.75
6597d013-e52e-40b4-bdd9-a6d6eb08768c,62,6.9
5ad242bc-f32b-42e7-a446-22b51646904c,62,7.6
5af0941b-81b9-4e77-be5c-d1493b270515,61,1.55
25512c8b-6a97-401f-b338-00994fe158c4,59,3.3
660f14e5-7857-405b-86bd-a4e701cc343f,59,7.25
588c74b6-b2f5-4288-a692-06146c04c64d,58,3.45
00ffe84a-58fd-43df-b254-99fc10c40c3a,56,7.85
e643a6f4-d13d-4291-a158-fa55f80226de,56,55.35
0bb381b8-5527-4aa9-810c-a6928d90b3c7,54,3.3
48b3a3fa-a866-41a1-b74e-ece13d8d7e33,50,7.25
1fd22691-038e-4f98-a682-d65a5e23e892,50,3.6
a63bc4c8-d198-426b-b6df-14172556f893,50,15.75
7f4223c3-f8e8-49e1-8814-700fd5292d43,49,7.25
6a7c4fd4-d4f9-4eb2-8e6b-92df818a363e,46,3.5
635a5d0c-d829-4447-9ced-2bfe5f0d8d5c,46,1.85
348cbffb-9812-4444-a63a-bb326a684ffd,45,4.4
305b42d0-2e33-4710-995a-c36e32d5dee4,42,3.5
af4ae5b0-88a1-431d-b20a-f805ae016dde,42,2.25
d2efab5c-cf51-4fca-9808-0530c84a9a2a,42,1
25ab2bbd-f136-4ed1-878d-cd82efe4dd8f,41,4
eb0a327a-8153-4d09-966e-bc0ab5a70aa2,41,5.45
78d08336-a247-474a-a33c-0819b4b0ff3c,40,3.35
3476615c-d76e-4006-aa1b-6d6e3f623558,39,3.7
91cf12cb-6fff-46fe-961b-0c5eebedb8ba,37,4.75
07d8b6a6-9535-497e-b81b-6001e9b898f1,34,7.25
8f32fd16-941c-4d75-b0bf-d29f20053bac,34,3.4
2f46c376-c578-430c-bdd0-bdfc75559007,34,1.1
e0960a6c-b9af-4f0e-88df-b8c2b72ca966,32,6
05d07897-cb79-41df-812f-d6dfdddfe69e,32,7.25