task_type,level,attempts,wins,win_rate_percent
FREE_MIND_BREATHE,1,1339,0,0.0
LANG_RHYME,1,578,68,11.8
LANG_RHYME,2,120,28,23.3
LANG_SENTENCE,1,596,95,15.9
LANG_SENTENCE,2,44,10,22.7
LANG_SYNONYM,1,737,47,6.4
LANG_SYNONYM,2,22,4,18.2
MATH_ADDITION,1,335,145,43.3
MATH_ADDITION,2,221,87,39.4
MATH_ADDITION,3,193,72,37.3
MATH_ADDITION,4,85,34,40.0
MATH_ADDITION,5,32,14,43.8
MATH_ADDITION,6,13,8,61.5
MATH_MULTIPLICATION,1,341,147,43.1
MATH_MULTIPLICATION,2,189,65,34.4
MATH_MULTIPLICATION,3,145,60,41.4
MATH_MULTIPLICATION,4,118,50,42.4
MATH_MULTIPLICATION,5,23,12,52.2
MATH_MULTIPLICATION,6,10,8,80.0
MATH_MULTIPLICATION,7,8,6,75.0
MATH_STREAM,1,678,103,15.2
MATH_STREAM,2,58,19,32.8
MATH_SUBTRACTION,1,333,168,50.5
MATH_SUBTRACTION,2,252,73,29.0
MATH_SUBTRACTION,3,154,67,43.5
MATH_SUBTRACTION,4,80,37,46.3
MATH_SUBTRACTION,5,37,20,54.1
MATH_SUBTRACTION,6,17,7,41.2
MUSIC_MEMORY,1,559,218,39.0
MUSIC_MEMORY,2,491,203,41.3
MUSIC_MEMORY,3,206,86,41.7
MUSIC_MEMORY,4,37,15,40.5
MUSIC_RHYTHM,1,928,119,12.8
MUSIC_RHYTHM,2,186,43,23.1
REACTION_COLOR,1,700,277,39.6
REACTION_COLOR,2,373,136,36.5
REACTION_COLOR,3,173,63,36.4
REACTION_COLOR,4,239,118,49.4
REACTION_COLOR,5,276,129,46.7
REACTION_COLOR,6,248,109,44.0
REACTION_COLOR,7,153,77,50.3
REACTION_COLOR,8,219,110,50.2
REACTION_COLOR,9,120,63,52.5
REACTION_COLOR,10,70,40,57.1
REACTION_COLOR,11,100,64,64.0
REACTION_COLOR,12,81,43,53.1
REACTION_COLOR,13,41,24,58.5
REACTION_COLOR,14,49,29,59.2
REACTION_COLOR,15,50,27,54.0
REACTION_COLOR,16,48,31,64.6
REACTION_COLOR,17,18,9,50.0
REACTION_COLOR,18,20,12,60.0
REACTION_COLOR,19,52,26,50.0
REACTION_COLOR,20,18,9,50.0
REACTION_COLOR,21,16,8,50.0
REACTION_COLOR,22,58,38,65.5
REACTION_COLOR,24,10,4,40.0
REACTION_COLOR,25,24,7,29.2
REACTION_COLOR,35,12,6,50.0
REACTION_COLOR,37,15,5,33.3
REACTION_COLOR,38,17,8,47.1
REACTION_COLOR,40,16,6,37.5
REACTION_COLOR,52,6,4,66.7
REACTION_SHAPE,1,360,230,63.9
REACTION_SHAPE,2,213,105,49.3
REACTION_SHAPE,3,109,52,47.7
REACTION_SHAPE,4,170,90,52.9
REACTION_SHAPE,5,182,106,58.2
REACTION_SHAPE,6,246,133,54.1
REACTION_SHAPE,7,223,103,46.2
REACTION_SHAPE,8,272,131,48.2
REACTION_SHAPE,9,146,79,54.1
REACTION_SHAPE,10,118,65,55.1
REACTION_SHAPE,11,81,50,61.7
REACTION_SHAPE,12,105,61,58.1
REACTION_SHAPE,13,70,37,52.9
REACTION_SHAPE,14,51,24,47.1
REACTION_SHAPE,15,71,29,40.8
REACTION_SHAPE,16,59,30,50.8
REACTION_SHAPE,17,20,10,50.0
REACTION_SHAPE,18,42,24,57.1
REACTION_SHAPE,19,19,9,47.4
REACTION_SHAPE,20,17,12,70.6
REACTION_SHAPE,21,16,10,62.5
REACTION_SHAPE,23,9,7,77.8
REACTION_SHAPE,29,13,7,53.8
REACTION_SHAPE,30,6,1,16.7
REACTION_SHAPE,33,6,5,83.3
REACTION_SHAPE,38,7,4,57.1
REACTION_SHAPE,41,7,4,57.1
REACTION_SHAPE,43,11,4,36.4
REACTION_SHAPE,44,11,5,45.5